DX,Description,CMS-HCC PACE/ESRD Model Category V21,CMSHCC,"RxHCC 
Model Category V05 ","CMS-HCC 
PACE/ESRD Model 
for 2017 
Payment Year","CMS-HCC Model 
for 2017 
Payment Year","RxHCC Model 
for 2017 
Payment Year"
A5443,Gonococcal osteomyelitis,39,39,,Yes,Yes,No
A5449,Gonococcal infection of other musculoskeletal tissue,39,39,,Yes,Yes,No
A5484,Gonococcal pneumonia,115,115,,Yes,Yes,No
A5485,Gonococcal peritonitis,33,33,,Yes,Yes,No
A5486,Gonococcal sepsis,2,2,,Yes,Yes,No
A666,Bone and joint lesions of yaws,39,39,,Yes,Yes,No
A6923,Arthritis due to Lyme disease,39,39,,Yes,Yes,No
A8100,"Creutzfeldt-Jakob disease, unspecified",52,,112,Yes,No,Yes
A8101,Variant Creutzfeldt-Jakob disease,52,,112,Yes,No,Yes
A8109,Other Creutzfeldt-Jakob disease,52,,112,Yes,No,Yes
A811,Subacute sclerosing panencephalitis,52,,112,Yes,No,Yes
A812,Progressive multifocal leukoencephalopathy,52,,112,Yes,No,Yes
A8181,Kuru,52,,112,Yes,No,Yes
A8182,Gerstmann-Straussler-Scheinker syndrome,52,,112,Yes,No,Yes
A8183,Fatal familial insomnia,52,,112,Yes,No,Yes
A8189,Other atypical virus infections of central nervous system,52,,112,Yes,No,Yes
A819,"Atypical virus infection of central nervous system, unspecified",52,,112,Yes,No,Yes
A985,Hemorrhagic fever with renal syndrome,141,,,Yes,No,No
B007,Disseminated herpesviral disease,2,2,,Yes,Yes,No
B0082,Herpes simplex myelitis,72,72,157,Yes,Yes,Yes
B0112,Varicella myelitis,72,72,157,Yes,Yes,Yes
B0221,Postherpetic geniculate ganglionitis,,,168,No,No,Yes
B0222,Postherpetic trigeminal neuralgia,,,168,No,No,Yes
B0223,Postherpetic polyneuropathy,,,168,No,No,Yes
B0224,Postherpetic myelitis,72,72,157,Yes,Yes,Yes
B0229,Other postherpetic nervous system involvement,,,168,No,No,Yes
B0682,Rubella arthritis,39,39,,Yes,Yes,No
B180,Chronic viral hepatitis B with delta-agent,29,29,55,Yes,Yes,Yes
B181,Chronic viral hepatitis B without delta-agent,29,29,55,Yes,Yes,Yes
B182,Chronic viral hepatitis C,29,29,54,Yes,Yes,Yes
B188,Other chronic viral hepatitis,29,29,55,Yes,Yes,Yes
B189,"Chronic viral hepatitis, unspecified",29,29,55,Yes,Yes,Yes
B20,Human immunodeficiency virus [HIV] disease,1,1,1,Yes,Yes,Yes
B250,Cytomegaloviral pneumonitis,6,6,5,Yes,Yes,Yes
B251,Cytomegaloviral hepatitis,6,6,5,Yes,Yes,Yes
B252,Cytomegaloviral pancreatitis,6,6,5,Yes,Yes,Yes
B258,Other cytomegaloviral diseases,6,6,5,Yes,Yes,Yes
B259,"Cytomegaloviral disease, unspecified",6,6,5,Yes,Yes,Yes
B2685,Mumps arthritis,39,39,,Yes,Yes,No
B3324,Viral cardiomyopathy,85,85,186,Yes,Yes,Yes
B371,Pulmonary candidiasis,6,6,5,Yes,Yes,Yes
B377,Candidal sepsis,2,2,5,Yes,Yes,Yes
B377,Candidal sepsis,6,6,,Yes,Yes,--
B3781,Candidal esophagitis,6,6,5,Yes,Yes,Yes
B380,Acute pulmonary coccidioidomycosis,115,115,,Yes,Yes,No
B381,Chronic pulmonary coccidioidomycosis,115,115,,Yes,Yes,No
B382,"Pulmonary coccidioidomycosis, unspecified",115,115,,Yes,Yes,No
B390,Acute pulmonary histoplasmosis capsulati,115,115,,Yes,Yes,No
B391,Chronic pulmonary histoplasmosis capsulati,115,115,,Yes,Yes,No
B392,"Pulmonary histoplasmosis capsulati, unspecified",115,115,,Yes,Yes,No
B400,Acute pulmonary blastomycosis,115,115,,Yes,Yes,No
B401,Chronic pulmonary blastomycosis,115,115,,Yes,Yes,No
B402,"Pulmonary blastomycosis, unspecified",115,115,,Yes,Yes,No
B410,Pulmonary paracoccidioidomycosis,115,115,,Yes,Yes,No
B4282,Sporotrichosis arthritis,39,39,,Yes,Yes,No
B440,Invasive pulmonary aspergillosis,6,6,5,Yes,Yes,Yes
B441,Other pulmonary aspergillosis,6,6,5,Yes,Yes,Yes
B442,Tonsillar aspergillosis,6,6,5,Yes,Yes,Yes
B447,Disseminated aspergillosis,6,6,5,Yes,Yes,Yes
B4481,Allergic bronchopulmonary aspergillosis,112,112,227,Yes,Yes,Yes
B4489,Other forms of aspergillosis,6,6,5,Yes,Yes,Yes
B449,"Aspergillosis, unspecified",6,6,5,Yes,Yes,Yes
B450,Pulmonary cryptococcosis,6,6,5,Yes,Yes,Yes
B451,Cerebral cryptococcosis,6,6,5,Yes,Yes,Yes
B452,Cutaneous cryptococcosis,6,6,5,Yes,Yes,Yes
B453,Osseous cryptococcosis,6,6,5,Yes,Yes,Yes
B457,Disseminated cryptococcosis,6,6,5,Yes,Yes,Yes
B458,Other forms of cryptococcosis,6,6,5,Yes,Yes,Yes
B459,"Cryptococcosis, unspecified",6,6,5,Yes,Yes,Yes
B460,Pulmonary mucormycosis,6,6,5,Yes,Yes,Yes
B461,Rhinocerebral mucormycosis,6,6,5,Yes,Yes,Yes
B462,Gastrointestinal mucormycosis,6,6,5,Yes,Yes,Yes
B463,Cutaneous mucormycosis,6,6,5,Yes,Yes,Yes
B464,Disseminated mucormycosis,6,6,5,Yes,Yes,Yes
B465,"Mucormycosis, unspecified",6,6,5,Yes,Yes,Yes
B468,Other zygomycoses,6,6,5,Yes,Yes,Yes
B469,"Zygomycosis, unspecified",6,6,5,Yes,Yes,Yes
B484,Penicillosis,6,6,5,Yes,Yes,Yes
B488,Other specified mycoses,6,6,5,Yes,Yes,Yes
B520,Plasmodium malariae malaria with nephropathy,141,,,Yes,No,No
B582,Toxoplasma meningoencephalitis,6,6,5,Yes,Yes,Yes
B583,Pulmonary toxoplasmosis,6,6,5,Yes,Yes,Yes
B59,Pneumocystosis,6,6,5,Yes,Yes,Yes
B664,Paragonimiasis,115,115,,Yes,Yes,No
B671,Echinococcus granulosus infection of lung,115,115,,Yes,Yes,No
B9735,"Human immunodeficiency virus, type 2 [HIV 2] as the cause of diseases classified elsewhere",1,1,1,Yes,Yes,Yes
C01,Malignant neoplasm of base of tongue,11,11,,Yes,Yes,No
C020,Malignant neoplasm of dorsal surface of tongue,11,11,,Yes,Yes,No
C021,Malignant neoplasm of border of tongue,11,11,,Yes,Yes,No
C022,Malignant neoplasm of ventral surface of tongue,11,11,,Yes,Yes,No
C023,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified",11,11,,Yes,Yes,No
C024,Malignant neoplasm of lingual tonsil,11,11,,Yes,Yes,No
C028,Malignant neoplasm of overlapping sites of tongue,11,11,,Yes,Yes,No
C029,"Malignant neoplasm of tongue, unspecified",11,11,,Yes,Yes,No
C030,Malignant neoplasm of upper gum,11,11,,Yes,Yes,No
C031,Malignant neoplasm of lower gum,11,11,,Yes,Yes,No
C039,"Malignant neoplasm of gum, unspecified",11,11,,Yes,Yes,No
C040,Malignant neoplasm of anterior floor of mouth,11,11,,Yes,Yes,No
C041,Malignant neoplasm of lateral floor of mouth,11,11,,Yes,Yes,No
C048,Malignant neoplasm of overlapping sites of floor of mouth,11,11,,Yes,Yes,No
C049,"Malignant neoplasm of floor of mouth, unspecified",11,11,,Yes,Yes,No
C050,Malignant neoplasm of hard palate,11,11,,Yes,Yes,No
C051,Malignant neoplasm of soft palate,11,11,,Yes,Yes,No
C052,Malignant neoplasm of uvula,11,11,,Yes,Yes,No
C058,Malignant neoplasm of overlapping sites of palate,11,11,,Yes,Yes,No
C059,"Malignant neoplasm of palate, unspecified",11,11,,Yes,Yes,No
C060,Malignant neoplasm of cheek mucosa,11,11,,Yes,Yes,No
C061,Malignant neoplasm of vestibule of mouth,11,11,,Yes,Yes,No
C062,Malignant neoplasm of retromolar area,11,11,,Yes,Yes,No
C0680,Malignant neoplasm of overlapping sites of unspecified parts of mouth,11,11,,Yes,Yes,No
C0689,Malignant neoplasm of overlapping sites of other parts of mouth,11,11,,Yes,Yes,No
C069,"Malignant neoplasm of mouth, unspecified",11,11,,Yes,Yes,No
C07,Malignant neoplasm of parotid gland,11,11,,Yes,Yes,No
C080,Malignant neoplasm of submandibular gland,11,11,,Yes,Yes,No
C081,Malignant neoplasm of sublingual gland,11,11,,Yes,Yes,No
C089,"Malignant neoplasm of major salivary gland, unspecified",11,11,,Yes,Yes,No
C090,Malignant neoplasm of tonsillar fossa,11,11,,Yes,Yes,No
C091,Malignant neoplasm of tonsillar pillar (anterior) (posterior),11,11,,Yes,Yes,No
C098,Malignant neoplasm of overlapping sites of tonsil,11,11,,Yes,Yes,No
C099,"Malignant neoplasm of tonsil, unspecified",11,11,,Yes,Yes,No
C100,Malignant neoplasm of vallecula,11,11,,Yes,Yes,No
C101,Malignant neoplasm of anterior surface of epiglottis,11,11,,Yes,Yes,No
C102,Malignant neoplasm of lateral wall of oropharynx,11,11,,Yes,Yes,No
C103,Malignant neoplasm of posterior wall of oropharynx,11,11,,Yes,Yes,No
C104,Malignant neoplasm of branchial cleft,11,11,,Yes,Yes,No
C108,Malignant neoplasm of overlapping sites of oropharynx,11,11,,Yes,Yes,No
C109,"Malignant neoplasm of oropharynx, unspecified",11,11,,Yes,Yes,No
C110,Malignant neoplasm of superior wall of nasopharynx,11,11,,Yes,Yes,No
C111,Malignant neoplasm of posterior wall of nasopharynx,11,11,,Yes,Yes,No
C112,Malignant neoplasm of lateral wall of nasopharynx,11,11,,Yes,Yes,No
C113,Malignant neoplasm of anterior wall of nasopharynx,11,11,,Yes,Yes,No
C118,Malignant neoplasm of overlapping sites of nasopharynx,11,11,,Yes,Yes,No
C119,"Malignant neoplasm of nasopharynx, unspecified",11,11,,Yes,Yes,No
C12,Malignant neoplasm of pyriform sinus,11,11,,Yes,Yes,No
C130,Malignant neoplasm of postcricoid region,11,11,,Yes,Yes,No
C131,"Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect",11,11,,Yes,Yes,No
C132,Malignant neoplasm of posterior wall of hypopharynx,11,11,,Yes,Yes,No
C138,Malignant neoplasm of overlapping sites of hypopharynx,11,11,,Yes,Yes,No
C139,"Malignant neoplasm of hypopharynx, unspecified",11,11,,Yes,Yes,No
C140,"Malignant neoplasm of pharynx, unspecified",11,11,,Yes,Yes,No
C142,Malignant neoplasm of Waldeyer's ring,11,11,,Yes,Yes,No
C148,"Malignant neoplasm of overlapping sites of lip, oral cavity and pharynx",11,11,,Yes,Yes,No
C153,Malignant neoplasm of upper third of esophagus,9,9,,Yes,Yes,No
C154,Malignant neoplasm of middle third of esophagus,9,9,,Yes,Yes,No
C155,Malignant neoplasm of lower third of esophagus,9,9,,Yes,Yes,No
C158,Malignant neoplasm of overlapping sites of esophagus,9,9,,Yes,Yes,No
C159,"Malignant neoplasm of esophagus, unspecified",9,9,,Yes,Yes,No
C160,Malignant neoplasm of cardia,9,9,18,Yes,Yes,Yes
C161,Malignant neoplasm of fundus of stomach,9,9,18,Yes,Yes,Yes
C162,Malignant neoplasm of body of stomach,9,9,18,Yes,Yes,Yes
C163,Malignant neoplasm of pyloric antrum,9,9,18,Yes,Yes,Yes
C164,Malignant neoplasm of pylorus,9,9,18,Yes,Yes,Yes
C165,"Malignant neoplasm of lesser curvature of stomach, unspecified",9,9,18,Yes,Yes,Yes
C166,"Malignant neoplasm of greater curvature of stomach, unspecified",9,9,18,Yes,Yes,Yes
C168,Malignant neoplasm of overlapping sites of stomach,9,9,18,Yes,Yes,Yes
C169,"Malignant neoplasm of stomach, unspecified",9,9,18,Yes,Yes,Yes
C170,Malignant neoplasm of duodenum,9,9,19,Yes,Yes,Yes
C171,Malignant neoplasm of jejunum,9,9,19,Yes,Yes,Yes
C172,Malignant neoplasm of ileum,9,9,19,Yes,Yes,Yes
C173,"Meckel's diverticulum, malignant",9,9,19,Yes,Yes,Yes
C178,Malignant neoplasm of overlapping sites of small intestine,9,9,19,Yes,Yes,Yes
C179,"Malignant neoplasm of small intestine, unspecified",9,9,19,Yes,Yes,Yes
C180,Malignant neoplasm of cecum,11,11,,Yes,Yes,No
C181,Malignant neoplasm of appendix,11,11,,Yes,Yes,No
C182,Malignant neoplasm of ascending colon,11,11,,Yes,Yes,No
C183,Malignant neoplasm of hepatic flexure,11,11,,Yes,Yes,No
C184,Malignant neoplasm of transverse colon,11,11,,Yes,Yes,No
C185,Malignant neoplasm of splenic flexure,11,11,,Yes,Yes,No
C186,Malignant neoplasm of descending colon,11,11,,Yes,Yes,No
C187,Malignant neoplasm of sigmoid colon,11,11,,Yes,Yes,No
C188,Malignant neoplasm of overlapping sites of colon,11,11,,Yes,Yes,No
C189,"Malignant neoplasm of colon, unspecified",11,11,,Yes,Yes,No
C19,Malignant neoplasm of rectosigmoid junction,11,11,,Yes,Yes,No
C20,Malignant neoplasm of rectum,11,11,,Yes,Yes,No
C210,"Malignant neoplasm of anus, unspecified",11,11,,Yes,Yes,No
C211,Malignant neoplasm of anal canal,11,11,,Yes,Yes,No
C212,Malignant neoplasm of cloacogenic zone,11,11,,Yes,Yes,No
C218,"Malignant neoplasm of overlapping sites of rectum, anus and anal canal",11,11,,Yes,Yes,No
C220,Liver cell carcinoma,9,9,17,Yes,Yes,Yes
C221,Intrahepatic bile duct carcinoma,9,9,17,Yes,Yes,Yes
C222,Hepatoblastoma,9,9,17,Yes,Yes,Yes
C223,Angiosarcoma of liver,9,9,17,Yes,Yes,Yes
C224,Other sarcomas of liver,9,9,17,Yes,Yes,Yes
C227,Other specified carcinomas of liver,9,9,17,Yes,Yes,Yes
C228,"Malignant neoplasm of liver, primary, unspecified as to type",9,9,17,Yes,Yes,Yes
C229,"Malignant neoplasm of liver, not specified as primary or secondary",9,9,17,Yes,Yes,Yes
C23,Malignant neoplasm of gallbladder,9,9,19,Yes,Yes,Yes
C240,Malignant neoplasm of extrahepatic bile duct,9,9,19,Yes,Yes,Yes
C241,Malignant neoplasm of ampulla of Vater,9,9,19,Yes,Yes,Yes
C248,Malignant neoplasm of overlapping sites of biliary tract,9,9,19,Yes,Yes,Yes
C249,"Malignant neoplasm of biliary tract, unspecified",9,9,19,Yes,Yes,Yes
C250,Malignant neoplasm of head of pancreas,9,9,18,Yes,Yes,Yes
C251,Malignant neoplasm of body of pancreas,9,9,18,Yes,Yes,Yes
C252,Malignant neoplasm of tail of pancreas,9,9,18,Yes,Yes,Yes
C253,Malignant neoplasm of pancreatic duct,9,9,18,Yes,Yes,Yes
C254,Malignant neoplasm of endocrine pancreas,9,9,18,Yes,Yes,Yes
C257,Malignant neoplasm of other parts of pancreas,9,9,18,Yes,Yes,Yes
C258,Malignant neoplasm of overlapping sites of pancreas,9,9,18,Yes,Yes,Yes
C259,"Malignant neoplasm of pancreas, unspecified",9,9,18,Yes,Yes,Yes
C260,"Malignant neoplasm of intestinal tract, part unspecified",11,11,,Yes,Yes,No
C261,Malignant neoplasm of spleen,11,11,,Yes,Yes,No
C269,Malignant neoplasm of ill-defined sites within the digestive system,11,11,,Yes,Yes,No
C300,Malignant neoplasm of nasal cavity,11,11,,Yes,Yes,No
C301,Malignant neoplasm of middle ear,11,11,,Yes,Yes,No
C310,Malignant neoplasm of maxillary sinus,11,11,,Yes,Yes,No
C311,Malignant neoplasm of ethmoidal sinus,11,11,,Yes,Yes,No
C312,Malignant neoplasm of frontal sinus,11,11,,Yes,Yes,No
C313,Malignant neoplasm of sphenoid sinus,11,11,,Yes,Yes,No
C318,Malignant neoplasm of overlapping sites of accessory sinuses,11,11,,Yes,Yes,No
C319,"Malignant neoplasm of accessory sinus, unspecified",11,11,,Yes,Yes,No
C320,Malignant neoplasm of glottis,11,11,,Yes,Yes,No
C321,Malignant neoplasm of supraglottis,11,11,,Yes,Yes,No
C322,Malignant neoplasm of subglottis,11,11,,Yes,Yes,No
C323,Malignant neoplasm of laryngeal cartilage,11,11,,Yes,Yes,No
C328,Malignant neoplasm of overlapping sites of larynx,11,11,,Yes,Yes,No
C329,"Malignant neoplasm of larynx, unspecified",11,11,,Yes,Yes,No
C33,Malignant neoplasm of trachea,9,9,18,Yes,Yes,Yes
C3400,Malignant neoplasm of unspecified main bronchus,9,9,18,Yes,Yes,Yes
C3401,Malignant neoplasm of right main bronchus,9,9,18,Yes,Yes,Yes
C3402,Malignant neoplasm of left main bronchus,9,9,18,Yes,Yes,Yes
C3410,"Malignant neoplasm of upper lobe, unspecified bronchus or lung",9,9,18,Yes,Yes,Yes
C3411,"Malignant neoplasm of upper lobe, right bronchus or lung",9,9,18,Yes,Yes,Yes
C3412,"Malignant neoplasm of upper lobe, left bronchus or lung",9,9,18,Yes,Yes,Yes
C342,"Malignant neoplasm of middle lobe, bronchus or lung",9,9,18,Yes,Yes,Yes
C3430,"Malignant neoplasm of lower lobe, unspecified bronchus or lung",9,9,18,Yes,Yes,Yes
C3431,"Malignant neoplasm of lower lobe, right bronchus or lung",9,9,18,Yes,Yes,Yes
C3432,"Malignant neoplasm of lower lobe, left bronchus or lung",9,9,18,Yes,Yes,Yes
C3480,Malignant neoplasm of overlapping sites of unspecified bronchus and lung,9,9,18,Yes,Yes,Yes
C3481,Malignant neoplasm of overlapping sites of right bronchus and lung,9,9,18,Yes,Yes,Yes
C3482,Malignant neoplasm of overlapping sites of left bronchus and lung,9,9,18,Yes,Yes,Yes
C3490,Malignant neoplasm of unspecified part of unspecified bronchus or lung,9,9,18,Yes,Yes,Yes
C3491,Malignant neoplasm of unspecified part of right bronchus or lung,9,9,18,Yes,Yes,Yes
C3492,Malignant neoplasm of unspecified part of left bronchus or lung,9,9,18,Yes,Yes,Yes
C37,Malignant neoplasm of thymus,11,11,,Yes,Yes,No
C380,Malignant neoplasm of heart,11,11,,Yes,Yes,No
C381,Malignant neoplasm of anterior mediastinum,11,11,,Yes,Yes,No
C382,Malignant neoplasm of posterior mediastinum,11,11,,Yes,Yes,No
C383,"Malignant neoplasm of mediastinum, part unspecified",11,11,,Yes,Yes,No
C384,Malignant neoplasm of pleura,9,9,18,Yes,Yes,Yes
C388,"Malignant neoplasm of overlapping sites of heart, mediastinum and pleura",11,11,,Yes,Yes,No
C390,"Malignant neoplasm of upper respiratory tract, part unspecified",11,11,,Yes,Yes,No
C399,"Malignant neoplasm of lower respiratory tract, part unspecified",11,11,,Yes,Yes,No
C4000,Malignant neoplasm of scapula and long bones of unspecified upper limb,10,10,19,Yes,Yes,Yes
C4001,Malignant neoplasm of scapula and long bones of right upper limb,10,10,19,Yes,Yes,Yes
C4002,Malignant neoplasm of scapula and long bones of left upper limb,10,10,19,Yes,Yes,Yes
C4010,Malignant neoplasm of short bones of unspecified upper limb,10,10,19,Yes,Yes,Yes
C4011,Malignant neoplasm of short bones of right upper limb,10,10,19,Yes,Yes,Yes
C4012,Malignant neoplasm of short bones of left upper limb,10,10,19,Yes,Yes,Yes
C4020,Malignant neoplasm of long bones of unspecified lower limb,10,10,19,Yes,Yes,Yes
C4021,Malignant neoplasm of long bones of right lower limb,10,10,19,Yes,Yes,Yes
C4022,Malignant neoplasm of long bones of left lower limb,10,10,19,Yes,Yes,Yes
C4030,Malignant neoplasm of short bones of unspecified lower limb,10,10,19,Yes,Yes,Yes
C4031,Malignant neoplasm of short bones of right lower limb,10,10,19,Yes,Yes,Yes
C4032,Malignant neoplasm of short bones of left lower limb,10,10,19,Yes,Yes,Yes
C4080,Malignant neoplasm of overlapping sites of bone and articular cartilage of unspecified limb,10,10,19,Yes,Yes,Yes
C4081,Malignant neoplasm of overlapping sites of bone and articular cartilage of right limb,10,10,19,Yes,Yes,Yes
C4082,Malignant neoplasm of overlapping sites of bone and articular cartilage of left limb,10,10,19,Yes,Yes,Yes
C4090,Malignant neoplasm of unspecified bones and articular cartilage of unspecified limb,10,10,19,Yes,Yes,Yes
C4091,Malignant neoplasm of unspecified bones and articular cartilage of right limb,10,10,19,Yes,Yes,Yes
C4092,Malignant neoplasm of unspecified bones and articular cartilage of left limb,10,10,19,Yes,Yes,Yes
C410,Malignant neoplasm of bones of skull and face,10,10,19,Yes,Yes,Yes
C411,Malignant neoplasm of mandible,10,10,19,Yes,Yes,Yes
C412,Malignant neoplasm of vertebral column,10,10,19,Yes,Yes,Yes
C413,"Malignant neoplasm of ribs, sternum and clavicle",10,10,19,Yes,Yes,Yes
C414,"Malignant neoplasm of pelvic bones, sacrum and coccyx",10,10,19,Yes,Yes,Yes
C419,"Malignant neoplasm of bone and articular cartilage, unspecified",10,10,19,Yes,Yes,Yes
C430,Malignant melanoma of lip,12,12,,Yes,Yes,No
C4310,"Malignant melanoma of unspecified eyelid, including canthus",12,12,,Yes,Yes,No
C4311,"Malignant melanoma of right eyelid, including canthus",12,12,,Yes,Yes,No
C4312,"Malignant melanoma of left eyelid, including canthus",12,12,,Yes,Yes,No
C4320,Malignant melanoma of unspecified ear and external auricular canal,12,12,,Yes,Yes,No
C4321,Malignant melanoma of right ear and external auricular canal,12,12,,Yes,Yes,No
C4322,Malignant melanoma of left ear and external auricular canal,12,12,,Yes,Yes,No
C4330,Malignant melanoma of unspecified part of face,12,12,,Yes,Yes,No
C4331,Malignant melanoma of nose,12,12,,Yes,Yes,No
C4339,Malignant melanoma of other parts of face,12,12,,Yes,Yes,No
C434,Malignant melanoma of scalp and neck,12,12,,Yes,Yes,No
C4351,Malignant melanoma of anal skin,12,12,,Yes,Yes,No
C4352,Malignant melanoma of skin of breast,12,12,,Yes,Yes,No
C4359,Malignant melanoma of other part of trunk,12,12,,Yes,Yes,No
C4360,"Malignant melanoma of unspecified upper limb, including shoulder",12,12,,Yes,Yes,No
C4361,"Malignant melanoma of right upper limb, including shoulder",12,12,,Yes,Yes,No
C4362,"Malignant melanoma of left upper limb, including shoulder",12,12,,Yes,Yes,No
C4370,"Malignant melanoma of unspecified lower limb, including hip",12,12,,Yes,Yes,No
C4371,"Malignant melanoma of right lower limb, including hip",12,12,,Yes,Yes,No
C4372,"Malignant melanoma of left lower limb, including hip",12,12,,Yes,Yes,No
C438,Malignant melanoma of overlapping sites of skin,12,12,,Yes,Yes,No
C439,"Malignant melanoma of skin, unspecified",12,12,,Yes,Yes,No
C450,Mesothelioma of pleura,9,9,18,Yes,Yes,Yes
C451,Mesothelioma of peritoneum,9,9,18,Yes,Yes,Yes
C452,Mesothelioma of pericardium,9,9,18,Yes,Yes,Yes
C457,Mesothelioma of other sites,9,9,18,Yes,Yes,Yes
C459,"Mesothelioma, unspecified",9,9,18,Yes,Yes,Yes
C460,Kaposi's sarcoma of skin,10,10,18,Yes,Yes,Yes
C461,Kaposi's sarcoma of soft tissue,10,10,18,Yes,Yes,Yes
C462,Kaposi's sarcoma of palate,10,10,18,Yes,Yes,Yes
C463,Kaposi's sarcoma of lymph nodes,10,10,18,Yes,Yes,Yes
C464,Kaposi's sarcoma of gastrointestinal sites,10,10,18,Yes,Yes,Yes
C4650,Kaposi's sarcoma of unspecified lung,10,10,18,Yes,Yes,Yes
C4651,Kaposi's sarcoma of right lung,10,10,18,Yes,Yes,Yes
C4652,Kaposi's sarcoma of left lung,10,10,18,Yes,Yes,Yes
C467,Kaposi's sarcoma of other sites,10,10,18,Yes,Yes,Yes
C469,"Kaposi's sarcoma, unspecified",10,10,18,Yes,Yes,Yes
C470,"Malignant neoplasm of peripheral nerves of head, face and neck",10,10,19,Yes,Yes,Yes
C4710,"Malignant neoplasm of peripheral nerves of unspecified upper limb, including shoulder",10,10,19,Yes,Yes,Yes
C4711,"Malignant neoplasm of peripheral nerves of right upper limb, including shoulder",10,10,19,Yes,Yes,Yes
C4712,"Malignant neoplasm of peripheral nerves of left upper limb, including shoulder",10,10,19,Yes,Yes,Yes
C4720,"Malignant neoplasm of peripheral nerves of unspecified lower limb, including hip",10,10,19,Yes,Yes,Yes
C4721,"Malignant neoplasm of peripheral nerves of right lower limb, including hip",10,10,19,Yes,Yes,Yes
